Rk,Date,Opp,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FTA,FT%,AST,PF,PTS,GmSc,+/-
24,2021-02-10,MIL,1,39:04,11,21,.524,1,4,.250,9,.778,3,4,30,18.6,+7
25,2021-02-13,PHI,1,33:52,14,23,.609,3,5,.600,6,.833,4,5,36,25.4,+1
26,2021-02-14,ORL,1,34:57,10,16,.625,1,3,.333,7,.857,6,2,27,24.0,+15
27,2021-02-16,BRK,1,36:28,9,20,.450,0,4,.000,4,1.000,7,4,22,14.5,-5
28,2021-02-19,NOP,1,30:47,9,18,.500,2,5,.400,3,1.000,2,4,23,12.0,+2
29,2021-02-20,MEM,1,26:09,7,13,.538,5,7,.714,4,1.000,5,1,23,17.7,+19
30,2021-02-22,POR,1,29:03,12,17,.706,2,2,1.000,8,1.000,4,0,34,30.3,+28
31,2021-02-24,CHO,1,31:03,13,24,.542,4,10,.400,4,.750,3,5,33,17.1,-4
32,2021-02-26,CHI,1,35:00,9,24,.375,0,3,.000,7,.571,5,0,22,12.7,+10
33,2021-02-28,MIN,1,34:07,15,26,.577,1,6,.167,13,.923,5,3,43,32.9,+18
34,2021-03-02,LAL,1,23:41,7,12,.583,1,3,.333,2,1.000,6,2,17,15.7,+13
35,2021-03-04,GSW,1,29:49,6,20,.300,1,5,.200,4,.750,6,2,16,7.9,+1
36,2021-03-11,POR,1,35:53,12,21,.571,3,5,.600,8,1.000,8,3,35,26.0,+3
37,2021-03-13,IND,1,36:51,9,20,.450,1,6,.167,2,.500,7,1,20,10.4,-4
38,2021-03-15,MEM,1,30:11,10,19,.526,3,8,.375,4,1.000,5,2,27,19.6,+17
39,2021-03-18,MIN,1,34:41,13,22,.591,3,8,.375,7,.857,6,4,35,23.9,-3
40,2021-03-19,MIN,1,35:45,6,18,.333,1,4,.250,4,.750,5,2,16,7.6,+18
41,2021-03-21,LAL,1,33:34,11,22,.500,1,5,.200,6,.500,4,2,26,19.7,+21
42,2021-03-23,MIA,1,27:10,10,19,.526,2,8,.250,1,1.000,3,1,23,16.9,+19
43,2021-03-24,ORL,1,32:28,9,21,.429,1,5,.200,6,1.000,7,3,25,21.1,+6
44,2021-03-26,TOR,1,33:42,6,14,.429,2,5,.400,2,1.000,2,2,16,8.0,-5
45,2021-03-28,CHO,1,41:56,10,26,.385,4,11,.364,12,.917,3,3,35,22.5,+4
46,2021-03-30,ATL,1,32:44,8,19,.421,2,7,.286,3,1.000,3,2,21,11.1,-3
47,2021-03-31,CHI,1,35:14,17,24,.708,2,5,.400,10,.900,4,3,45,34.5,+7
48,2021-04-02,OKC,1,30:00,11,20,.550,3,5,.600,7,1.000,5,3,32,25.3,+28
49,2021-04-05,HOU,1,35:34,11,20,.550,6,8,.750,9,.889,6,4,36,29.8,+15
50,2021-04-07,UTA,1,43:45,13,31,.419,0,6,.000,10,.900,3,2,35,15.6,0
51,2021-04-08,LAC,1,36:36,6,13,.462,0,2,.000,14,.857,3,4,24,18.3,-9
52,2021-04-10,WAS,1,26:29,11,24,.458,3,8,.375,2,1.000,6,2,27,21.9,+24
